#format table ## [Custom WaveView] saved 05:23:05 Mon Jan 15 2024
TIME ,x_ssad.v(b5) ,x_ssad.v(b4) ,x_ssad.v(b3) ,x_ssad.v(b2) ,x_ssad.v(b1) ,x_ssad.v(b0) 
 8.080E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 8.130E-03 , 1.715E-03 , 1.715E-03 , 1.715E-03 , 1.715E-03 , 1.231E+00 , 1.290E+00 
 8.180E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.814E-06 
 8.230E-03 , 1.715E-03 , 1.715E-03 , 1.715E-03 , 1.715E-03 , 1.231E+00 , 1.290E+00 
 8.280E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.833E-06 
 8.330E-03 , 1.715E-03 , 1.715E-03 , 1.715E-03 , 1.715E-03 , 1.231E+00 , 1.290E+00 
 8.380E-03 , 1.284E+00 , 1.284E+00 , 1.284E+00 , 1.320E+00 , 8.883E-06 , 1.320E+00 
 8.430E-03 , 6.167E-03 , 6.167E-03 , 6.167E-03 , 1.280E+00 , 6.167E-03 , 6.167E-03 
 8.480E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.814E-06 
 8.530E-03 , 1.715E-03 , 1.715E-03 , 1.715E-03 , 1.715E-03 , 1.231E+00 , 1.290E+00 
 8.580E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.811E-06 
 8.630E-03 , 6.168E-03 , 6.168E-03 , 6.168E-03 , 1.280E+00 , 6.168E-03 , 6.168E-03 
 8.680E-03 , 1.284E+00 , 1.284E+00 , 1.284E+00 , 1.320E+00 , 8.882E-06 , 1.320E+00 
 8.730E-03 , 1.716E-03 , 1.716E-03 , 1.716E-03 , 1.716E-03 , 1.231E+00 , 1.290E+00 
 8.780E-03 , 1.284E+00 , 1.284E+00 , 1.284E+00 , 1.320E+00 , 8.882E-06 , 1.320E+00 
 8.830E-03 , 6.168E-03 , 6.168E-03 , 6.168E-03 , 1.280E+00 , 6.168E-03 , 6.168E-03 
 8.880E-03 , 1.284E+00 , 1.284E+00 , 1.284E+00 , 1.320E+00 , 8.883E-06 , 1.320E+00 
 8.930E-03 , 6.168E-03 , 6.168E-03 , 6.168E-03 , 1.280E+00 , 6.168E-03 , 6.168E-03 
 8.980E-03 , 1.284E+00 , 1.284E+00 , 1.284E+00 , 1.320E+00 , 8.882E-06 , 1.320E+00 
 9.030E-03 , 6.169E-03 , 6.169E-03 , 6.169E-03 , 1.280E+00 , 6.169E-03 , 6.169E-03 
 9.080E-03 , 1.284E+00 , 1.284E+00 , 1.284E+00 , 1.320E+00 , 8.883E-06 , 1.320E+00 
 9.130E-03 , 1.506E-03 , 1.506E-03 , 1.506E-03 , 1.290E+00 , 1.506E-03 , 1.290E+00 
 9.180E-03 , 1.266E+00 , 1.266E+00 , 1.266E+00 , 1.310E+00 , 3.731E-05 , 3.730E-05 
 9.230E-03 , 6.169E-03 , 6.169E-03 , 6.169E-03 , 1.280E+00 , 6.169E-03 , 6.169E-03 
 9.280E-03 , 1.266E+00 , 1.266E+00 , 1.266E+00 , 1.310E+00 , 3.731E-05 , 3.731E-05 
 9.330E-03 , 1.506E-03 , 1.506E-03 , 1.506E-03 , 1.290E+00 , 1.506E-03 , 1.290E+00 
 9.380E-03 , 1.266E+00 , 1.266E+00 , 1.266E+00 , 1.310E+00 , 3.731E-05 , 3.720E-05 
 9.430E-03 , 1.506E-03 , 1.506E-03 , 1.506E-03 , 1.290E+00 , 1.506E-03 , 1.290E+00 
 9.480E-03 , 1.266E+00 , 1.266E+00 , 1.266E+00 , 1.310E+00 , 3.732E-05 , 3.731E-05 
 9.530E-03 , 1.506E-03 , 1.506E-03 , 1.506E-03 , 1.290E+00 , 1.506E-03 , 1.290E+00 
 9.580E-03 , 1.266E+00 , 1.266E+00 , 1.266E+00 , 1.310E+00 , 3.732E-05 , 3.727E-05 
 9.630E-03 , 1.506E-03 , 1.506E-03 , 1.506E-03 , 1.290E+00 , 1.506E-03 , 1.290E+00 
 9.680E-03 , 1.284E+00 , 1.284E+00 , 1.320E+00 , 8.882E-06 , 1.284E+00 , 1.320E+00 
 9.730E-03 , 1.506E-03 , 1.506E-03 , 1.506E-03 , 1.290E+00 , 1.506E-03 , 1.290E+00 
 9.780E-03 , 1.284E+00 , 1.284E+00 , 1.320E+00 , 8.883E-06 , 1.284E+00 , 1.320E+00 
 9.830E-03 , 1.717E-03 , 1.717E-03 , 1.717E-03 , 1.231E+00 , 1.290E+00 , 1.717E-03 
 9.880E-03 , 1.284E+00 , 1.284E+00 , 1.320E+00 , 8.883E-06 , 1.284E+00 , 1.320E+00 
 9.930E-03 , 1.717E-03 , 1.717E-03 , 1.717E-03 , 1.231E+00 , 1.290E+00 , 1.717E-03 
 9.980E-03 , 1.284E+00 , 1.284E+00 , 1.320E+00 , 8.882E-06 , 1.284E+00 , 1.320E+00 
 1.003E-02 , 1.717E-03 , 1.717E-03 , 1.717E-03 , 1.231E+00 , 1.290E+00 , 1.717E-03 
 1.008E-02 , 1.284E+00 , 1.284E+00 , 1.320E+00 , 8.882E-06 , 1.284E+00 , 1.320E+00 
 1.013E-02 , 1.717E-03 , 1.717E-03 , 1.717E-03 , 1.231E+00 , 1.290E+00 , 1.717E-03 
 1.018E-02 , 1.267E+00 , 1.267E+00 , 1.310E+00 , 3.247E-05 , 1.310E+00 , 3.247E-05 
 1.023E-02 , 1.717E-03 , 1.717E-03 , 1.717E-03 , 1.231E+00 , 1.290E+00 , 1.717E-03 
 1.028E-02 , 1.267E+00 , 1.267E+00 , 1.310E+00 , 3.247E-05 , 1.310E+00 , 3.247E-05 
 1.033E-02 , 2.967E-04 , 2.967E-04 , 2.967E-04 , 1.248E+00 , 1.248E+00 , 1.299E+00 
 1.038E-02 , 1.267E+00 , 1.267E+00 , 1.310E+00 , 3.248E-05 , 3.248E-05 , 1.310E+00 
 1.043E-02 , 2.968E-04 , 2.968E-04 , 2.968E-04 , 1.248E+00 , 1.248E+00 , 1.299E+00 
 1.048E-02 , 1.267E+00 , 1.267E+00 , 1.310E+00 , 3.248E-05 , 1.310E+00 , 3.248E-05 
